tempo_ms;nitrogenio;fosforo;potassio;ldr;ph;umidade;temperatura;previsao_chuva;bomba;;tempo_ms;nitrogenio;fosforo;potassio;ldr;ph;umidade;temperatura;previsao_chuva;bomba
1520;0;0;0;2739;9.36;50.00;9.70;0;0;;1520;0;0;0;1405;4.80;52.00;9.70;1;0
4528;0;0;0;2779;9.50;50.00;9.70;0;0;;4528;0;0;0;1499;5.12;52.00;9.70;1;0
7536;0;0;0;2590;8.85;50.00;9.70;0;0;;7536;0;0;0;1613;5.51;52.00;9.70;1;0
10544;1;0;0;2350;8.03;50.00;9.70;0;0;;10544;1;0;0;1669;5.71;52.00;9.70;1;0
13552;1;0;0;2337;7.99;50.00;9.70;0;0;;13552;0;0;0;1576;5.39;52.00;9.70;1;0
16560;1;0;0;2271;7.76;50.00;9.70;0;0;;16560;0;1;0;1550;5.30;52.00;9.70;1;0
19568;0;1;0;2254;7.71;50.00;9.70;0;0;;19568;0;0;1;1651;5.64;52.00;9.70;1;0
22576;0;1;0;2361;8.07;50.00;9.70;0;0;;22576;0;0;0;1800;6.15;52.00;9.70;1;0
25584;0;1;0;2134;7.30;50.00;9.70;0;0;;25584;1;0;0;1990;6.80;62.50;9.70;1;0
28592;0;0;1;2268;7.75;50.00;9.70;0;0;;28592;0;1;0;1954;6.68;62.50;9.70;1;0
31600;0;0;1;2358;8.06;50.00;9.70;0;0;;31600;0;0;1;2113;7.22;62.50;9.70;1;0
34608;0;0;1;2239;7.65;50.00;9.70;0;0;;34608;0;0;0;2167;7.41;50.00;9.70;1;0
37616;0;0;0;2345;8.02;50.00;9.70;0;0;;37616;1;0;0;2089;7.14;50.00;9.70;1;0
40624;0;0;0;2399;8.20;38.50;9.70;0;0;;40624;0;1;0;2078;7.10;50.00;9.70;1;0
43632;0;0;0;2409;8.24;38.50;9.70;0;0;;43632;0;0;1;1910;6.53;50.00;9.70;1;0
46640;1;0;0;2183;7.46;38.50;9.70;0;0;;46640;0;0;0;1895;6.48;50.00;9.70;1;0
49648;1;0;0;2181;7.46;38.50;9.70;0;0;;49648;1;0;0;2102;7.19;77.50;9.70;1;0
52656;1;0;0;2263;7.74;38.50;9.70;0;0;;52656;0;1;0;2202;7.53;77.50;9.70;1;0
55664;0;0;0;2207;7.55;38.50;9.70;0;0;;55664;0;0;1;2044;6.99;77.50;9.70;1;0
58672;0;0;0;2023;6.92;38.50;9.70;0;1;;58672;0;0;0;2024;6.92;50.00;9.70;1;0
61680;0;0;0;1916;6.55;38.50;9.70;0;1;;61680;0;0;0;1903;6.51;50.00;9.70;1;0
64688;1;0;0;2079;7.11;38.50;9.70;0;0;;64688;1;0;0;1904;6.51;50.00;9.70;1;0
67696;1;0;0;1981;6.77;38.50;9.70;0;1;;67696;0;1;0;1996;6.82;50.00;9.70;1;0
70704;1;0;0;1832;6.26;38.50;9.70;0;1;;70704;0;0;1;2105;7.20;50.00;9.70;1;0
73712;1;0;0;2015;6.89;38.50;9.70;0;1;;;;;;;;;;;
76720;0;1;0;2104;7.19;38.50;9.70;0;0;;;;;;;;;;;
79728;0;1;0;2150;7.35;38.50;9.70;0;0;;;;;;;;;;;
82736;0;1;0;1988;6.80;38.50;9.70;0;1;;;;;;;;;;;
85744;0;0;1;2007;6.86;38.50;9.70;0;1;;;;;;;;;;;
88752;0;0;1;2070;7.08;38.50;9.70;0;0;;;;;;;;;;;
91760;0;0;1;2092;7.15;38.50;9.70;0;0;;;;;;;;;;;
94768;0;0;1;2080;7.11;38.50;9.70;0;0;;;;;;;;;;;
97776;0;0;1;2263;7.74;38.50;9.70;0;0;;;;;;;;;;;
100784;0;0;1;2083;7.12;38.50;9.70;0;0;;;;;;;;;;;
103792;0;0;1;2048;7.00;38.50;9.70;0;0;;;;;;;;;;;
106800;0;0;1;1950;6.67;38.50;9.70;0;1;;;;;;;;;;;
109808;0;0;1;2112;7.22;38.50;9.70;0;0;;;;;;;;;;;
112816;0;0;1;1911;6.53;38.50;9.70;0;1;;;;;;;;;;;
115824;0;0;1;1774;6.06;38.50;9.70;0;1;;;;;;;;;;;
118832;0;0;0;1811;6.19;70.00;9.70;0;0;;;;;;;;;;;
121840;1;0;0;1946;6.65;70.00;9.70;0;0;;;;;;;;;;;
124848;1;0;0;1821;6.23;70.00;9.70;0;0;;;;;;;;;;;
127856;1;0;0;1679;5.74;70.00;9.70;0;0;;;;;;;;;;;
130864;0;1;0;1756;6.00;70.00;9.70;0;0;;;;;;;;;;;
133872;0;1;0;1864;6.37;70.00;9.70;0;0;;;;;;;;;;;
136880;0;1;0;1834;6.27;70.00;9.70;0;0;;;;;;;;;;;
139888;0;0;1;1764;6.03;70.00;9.70;0;0;;;;;;;;;;;
142896;0;0;1;1856;6.35;70.00;9.70;0;0;;;;;;;;;;;
145904;0;0;0;2071;7.08;70.00;9.70;0;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
